source_device,tweet_language,avg_favorites,avg_hashtag_count
"<a href=\"http://www.socialbakers.com/\" rel=\"nofollow\">Emplifi</a>",en,21.0,2.0
"<a href=\"https://www.reforma.com\" rel=\"nofollow\">GR_Feed</a>",es,19.0,1.0
"<a href=\"https://app.agorapulse.com\" rel=\"nofollow\">Agorapulse app</a>",it,15.0,2.0
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",et,8.666666666666666,0.6666666666666666
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",cs,8.125,0.25
"<a href=\"https://www.echobox.com\" rel=\"nofollow\">Echobox</a>",en,6.5,0.05555555555555555
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",tr,5.839285714285714,0.26785714285714285
"<a href=\"https://www.canva.com\" rel=\"nofollow\">Canva</a>",en,5.666666666666667,2.3333333333333335
"<a href=\"https://hocalwire.com\" rel=\"nofollow\">Hocalwire Social</a>",en,5.5,4.0
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",pt,5.0,1.0
"<a href=\"http://www.bangkokpost.com\" rel=\"nofollow\">BPbreakingnews</a>",en,5.0,2.0
"<a href=\"https://www.echobox.com\" rel=\"nofollow\">Echobox</a>",fr,4.647058823529412,0.17647058823529413
"<a href=\"http://www.republicworld.com\" rel=\"nofollow\">Republicworld</a>",en,4.5,5.5
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",ru,4.333333333333333,0.3333333333333333
"<a href=\"https://tweethunter.io\" rel=\"nofollow\">Tweet Hunter Pro</a>",en,4.0,0.25
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",tr,3.8740740740740742,0.07407407407407407
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",fi,3.8333333333333335,0.4166666666666667
"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Twitter Media Studio</a>",es,3.6666666666666665,1.0
"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>",en,3.090909090909091,1.6363636363636365
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",zh,3.0851063829787235,3.5106382978723403
"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",fr,3.0714285714285716,0.07142857142857142
"<a href=\"https://sciencex.com/\" rel=\"nofollow\">Science X Status Updates</a>",en,3.0,1.5
"<a href=\"https://rtweet.info\" rel=\"nofollow\">rstats2twitter</a>",de,3.0,2.0
"<a href=\"https://studio.twitter.com\" rel=\"nofollow\">Twitter Media Studio</a>",it,3.0,3.0
"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",en,2.7874015748031495,0.5433070866141733
"<a href=\"https://twitter.com\" rel=\"nofollow\">TweetDeck Web App</a>",en,2.5714285714285716,0.14285714285714285
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",de,2.541501976284585,0.32608695652173914
"<a href=\"https://www.socialoomph.com\" rel=\"nofollow\">SocialOomph</a>",en,2.5,1.0
"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",es,2.2,0.5777777777777777
"<a href=\"https://www.fs-poster.com/\" rel=\"nofollow\">FS_Poster_App</a>",fr,2.0,2.0
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",th,2.0,0.25
"<a href=\"http://dynamicsignal.com/\" rel=\"nofollow\">Dynamic Signal</a>",en,2.0,2.0
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">MLChem</a>",en,2.0,2.0
"<a href=\"https://app.sendible.com\" rel=\"nofollow\">Sendible</a>",en,2.0,4.0
"<a href=\"https://www.twitter.com/\" rel=\"nofollow\">Twitter Media Studio - LiveCut</a>",es,2.0,4.0
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",ur,2.0,14.0
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",fr,1.8914285714285715,0.14857142857142858
"<a href=\"http://itunes.apple.com/us/app/twitter/id409789998?mt=12\" rel=\"nofollow\">Twitter for Mac</a>",en,1.6875,0.21875
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",de,1.6398809523809523,0.3392857142857143
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",nl,1.5188679245283019,0.330188679245283
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",pt,1.4049382716049383,0.009876543209876543
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",ja,1.3832599118942732,0.07048458149779736
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",fr,1.3772151898734177,0.1939240506329114
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",pl,1.297872340425532,0.43617021276595747
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",pl,1.2170542635658914,0.11627906976744186
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",sv,1.2,0.5333333333333333
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",tr,1.173913043478261,0.15019762845849802
"<a href=\"https://www.loomly.com/\" rel=\"nofollow\">Loomly</a>",en,1.0,1.0
"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>",en,1.0,0.5
"<a href=\"https://www.later.com\" rel=\"nofollow\">LaterMedia</a>",en,1.0,2.3333333333333335
"<a href=\"https://prod1.sprinklr.com\" rel=\"nofollow\">Sprinklr Publishing</a>",en,1.0,2.0
"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",it,1.0,4.0
"<a href=\"http://www.soft-data.com\" rel=\"nofollow\">SD-PushTwitter</a>",es,1.0,2.0
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">so_cal_jobs_bot_v2</a>",en,1.0,6.0
"<a href=\"https://www.ayrshare.com\" rel=\"nofollow\">Ayrshare</a>",en,1.0,2.0
"<a href=\"https://www.translated.com\" rel=\"nofollow\">Imminent News</a>",en,1.0,2.0
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",no,1.0,2.5
"<a href=\"http://www.powerapps.com\" rel=\"nofollow\">Microsoft Power Platform</a>",cs,1.0,9.0
"<a href=\"https://www.getboost360.com\" rel=\"nofollow\">Boost360</a>",en,1.0,7.0
"<a href=\"https://peing.net\" rel=\"nofollow\">Peing</a>",ja,1.0,2.0
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",en,0.9848426262470034,0.08661356430283815
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",de,0.948339483394834,0.3062730627306273
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",es,0.9142526071842411,0.4391657010428737
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",und,0.8340248962655602,1.2240663900414939
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",it,0.8203799654576857,0.48186528497409326
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",en,0.8064516129032258,0.6021505376344086
"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",en,0.7922077922077922,1.0909090909090908
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",en,0.7892805515400867,0.19381741354386745
"<a href=\"https://metricool.com\" rel=\"nofollow\">Metricool</a>",es,0.7857142857142857,1.9285714285714286
"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",it,0.7857142857142857,0.8571428571428571
"<a href=\"https://www.socialjukebox.com\" rel=\"nofollow\">The Social Jukebox</a>",en,0.7777777777777778,0.8888888888888888
"<a href=\"http://www.socialnewsdesk.com\" rel=\"nofollow\">SocialNewsDesk</a>",en,0.7714285714285715,0.02857142857142857
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",tl,0.7333333333333333,0.13333333333333333
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",it,0.7184466019417476,0.2912621359223301
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",in,0.6923076923076923,0.3516483516483517
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",it,0.6923076923076923,0.34615384615384615
"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>",es,0.6666666666666666,3.0
"<a href=\"https://app.agorapulse.com\" rel=\"nofollow\">Agorapulse app</a>",en,0.6666666666666666,0.6666666666666666
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",fa,0.6666666666666666,1.1666666666666667
"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",es,0.6428571428571429,1.2142857142857142
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",sv,0.6428571428571429,0.21428571428571427
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",fi,0.625,0.125
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",ja,0.6071428571428571,0.07142857142857142
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",und,0.6046511627906976,0.5271317829457365
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",it,0.6040955631399317,0.5938566552901023
"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>",ja,0.6,0.2
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",pt,0.5535071942446043,0.03282374100719424
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",hi,0.55,0.35
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",it,0.5405405405405406,0.918918918918919
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",pt,0.5273972602739726,0.02968036529680365
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",es,0.5223880597014925,0.07462686567164178
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",und,0.5146443514644351,1.1255230125523012
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",fr,0.513283378746594,0.15361035422343325
"<a href=\"https://mobilemarketer.pro\" rel=\"nofollow\">VPNewFeatures</a>",es,0.5,2.0
"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>",en,0.5,0.8333333333333334
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",ar,0.5,3.5
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",de,0.5,4.0
"<a href=\"https://www.loomly.com/\" rel=\"nofollow\">Loomly</a>",es,0.5,2.5
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",ca,0.5,0.3333333333333333
"<a href=\"http://www.powerapps.com\" rel=\"nofollow\">Microsoft Power Platform</a>",fr,0.5,0.5
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",und,0.5,1.5
"<a href=\"https://smarterqueue.com\" rel=\"nofollow\">SmarterQueue</a>",en,0.5,1.0
"<a href=\"https://www.socialgest.net\" rel=\"nofollow\">SocialGest</a>",es,0.5,0.5
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",ja,0.5,3.0
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",in,0.4810126582278481,0.12658227848101267
"<a href=\"http://besocy.com\" rel=\"nofollow\">Besocy_Oficial</a>",es,0.4666666666666667,0.26666666666666666
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",en,0.45454545454545453,0.8484848484848485
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",en,0.4535667396061269,0.12962800875273522
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",en,0.44871794871794873,0.08653846153846154
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",el,0.4375,0.6875
"<a href=\"https://social.zoho.com\" rel=\"nofollow\">Zoho Social</a>",en,0.4,2.0
"<a href=\"https://www.meltwater.com/\" rel=\"nofollow\">Meltwater Social</a>",en,0.4,3.2
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",nl,0.4,0.08571428571428572
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",it,0.375,0.9166666666666666
"<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">Jetpack.com</a>",es,0.36363636363636365,0.36363636363636365
"<a href=\"http://etus.com.br\" rel=\"nofollow\">Etus Brasil</a>",pt,0.3333333333333333,3.0
"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",fr,0.3333333333333333,1.6666666666666667
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",ja,0.3333333333333333,0.19923371647509577
"<a href=\"https://pandemicpatients.org\" rel=\"nofollow\">LongCOVIDResearch</a>",en,0.3333333333333333,2.0
"<a href=\"http://tweepsmap.com\" rel=\"nofollow\">Tweepsmap</a>",en,0.3333333333333333,0.8333333333333334
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",es,0.31076923076923074,0.1517948717948718
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",es,0.30638297872340425,0.36295369211514394
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",fr,0.296,0.232
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",es,0.2727272727272727,0.6363636363636364
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",zh,0.25,0.75
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",pt,0.25,1.75
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",ja,0.2026578073089701,0.23588039867109634
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",und,0.2,0.28
